groupType,groupName,trades,wins,losses,winRate,netPnl,avgTrade,profitFactor,avgMfe,avgMae
"strategy","trendMomentum","142","50","92","35.21","-67.53","-0.48","0.52","1.29","1.07"
"strategyProfile","trendMomentum | conservative","36","11","25","30.56","-17.29","-0.48","0.52","1.13","1.07"
"strategySymbol","trendMomentum | BTC-USDT","10","0","10","0","-8.85","-0.88","0","0.19","0.96"
"regime","UPTREND","252","85","167","33.73","-141.51","-0.56","0.46","1.23","1.11"
"exitReason","STOP_LOSS","167","0","167","0","-260.8","-1.56","0","0.48","1.43"
"volumeRatio",">1.2","203","67","136","33","-118.36","-0.58","0.45","1.17","1.15"
"rsi","55–60","91","13","78","14.29","-89.35","-0.98","0.19","0.6","1.24"
"atrPct","<0.25","74","16","58","21.62","-53.97","-0.73","0.13","0.56","0.73"
"strategySymbol","trendMomentum | ETH-USDT","5","2","3","40","-1.6","-0.32","0.58","2.52","0.58"
"strategySymbol","trendMomentum | SOL-USDT","127","48","79","37.8","-57.08","-0.45","0.56","1.33","1.1"
"exitReason","TAKE_PROFIT","85","85","0","100","119.29","1.4","N/A","2.71","0.46"
"atrPct","0.25–0.5","123","48","75","39.02","-55.17","-0.45","0.53","1.33","1.09"
"rsi","60–65","106","45","61","42.45","-38.67","-0.36","0.61","1.65","0.99"
"rsi","50–55","45","23","22","51.11","-7.12","-0.16","0.82","1.45","1.11"
"atrPct","0.5–0.8","55","21","34","38.18","-32.37","-0.59","0.6","1.91","1.64"
"strategyProfile","trendMomentum | balanced","46","19","27","41.3","-16.08","-0.35","0.64","1.46","1.11"
"volumeRatio","1.0–1.2","34","14","20","41.18","-11.98","-0.35","0.6","1.65","0.88"
"strategyProfile","trendMomentum | aggressive","60","20","40","33.33","-34.16","-0.57","0.44","1.26","1.04"
"volumeRatio","0.8–1.0","15","4","11","26.67","-11.17","-0.74","0.32","1.09","0.97"
"rsi",">65","10","4","6","40","-6.37","-0.64","0.4","1.51","1.12"
"strategy","trendPullback","110","35","75","31.82","-73.98","-0.67","0.38","1.15","1.15"
"strategyProfile","trendPullback | conservative","26","7","19","26.92","-17.57","-0.68","0.39","1.05","1.12"
"strategySymbol","trendPullback | BTC-USDT","5","0","5","0","-4.61","-0.92","0","0.34","0.55"
"strategySymbol","trendPullback | ETH-USDT","5","2","3","40","-1.6","-0.32","0.58","2.52","0.58"
"strategySymbol","trendPullback | SOL-USDT","100","33","67","33","-67.77","-0.68","0.39","1.13","1.2"
"strategyProfile","trendPullback | balanced","34","13","21","38.24","-17.45","-0.51","0.52","1.33","1.23"
"strategyProfile","trendPullback | aggressive","50","15","35","30","-38.96","-0.78","0.28","1.09","1.1"
