strategy,symbols,emaFast,emaSlow,minRsi,maxRsi,minVolumeFactor,maxVolumeFactor,atrStop,atrTake,trainTrades,trainNetPnl,trainPF,trainWinRate,trainMaxDD,testTrades,testNetPnl,testPF,testWinRate,testMaxDD,score,candidate
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","0.8","1.2","1","1.5","2","-0.71","0.42","50","1.23","3","-1.02","0.65","33.33","2.04","4.52","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","0.8","1.2","1","1.5","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","ETH-USDT","9","21","42","55","0.8","1.2","1","1.5","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","0.8","1.2","1","1.5","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","0.8","1.2","1","1.5","7","-4.16","0.19","42.86","5.13","13","-5.99","0.53","38.46","7.49","-13.22","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","0.8","1.2","1","1.5","0","0","N/A","0","0","4","-2.72","0.05","25","1.72","-6.66","false"
"trendMomentum","ETH-USDT","20","50","42","55","0.8","1.2","1","1.5","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","20","50","42","55","0.8","1.2","1","1.5","0","0","N/A","0","0","3","-1.58","0.08","33.33","1.72","-4.08","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","0.8","1.2","1","1.5","14","-6.56","0.35","42.86","6.92","11","1.03","1.15","54.55","2.48","2.83","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","0.8","1.2","1","1.5","1","-0.85","0","0","0.85","4","-2.72","0.05","25","1.72","-6.66","false"
"trendMomentum","ETH-USDT","30","100","42","55","0.8","1.2","1","1.5","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","30","100","42","55","0.8","1.2","1","1.5","1","-0.85","0","0","0.85","3","-1.58","0.08","33.33","1.72","-4.08","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","0.8","1.2","1","2","2","-0.38","0.69","50","1.23","3","-0.25","0.91","33.33","2.04","10.01","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","0.8","1.2","1","2","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","ETH-USDT","9","21","42","55","0.8","1.2","1","2","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","0.8","1.2","1","2","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","0.8","1.2","1","2","6","-4.18","0.19","33.33","5.13","12","-5.62","0.56","33.33","7.49","-12.18","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","0.8","1.2","1","2","0","0","N/A","0","0","4","-2.51","0.12","25","1.72","-5.54","false"
"trendMomentum","ETH-USDT","20","50","42","55","0.8","1.2","1","2","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","20","50","42","55","0.8","1.2","1","2","0","0","N/A","0","0","3","-1.37","0.2","33.33","1.72","-2.46","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","0.8","1.2","1","2","13","-5.25","0.48","38.46","6.58","10","1.99","1.29","50","2.48","6.8","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","0.8","1.2","1","2","1","-0.85","0","0","0.85","4","-2.51","0.12","25","1.72","-5.54","false"
"trendMomentum","ETH-USDT","30","100","42","55","0.8","1.2","1","2","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","30","100","42","55","0.8","1.2","1","2","1","-0.85","0","0","0.85","3","-1.37","0.2","33.33","1.72","-2.46","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","0.8","1.2","1.2","1.8","2","-0.67","0.52","50","1.4","3","-0.94","0.72","33.33","2.33","5.59","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","0.8","1.2","1.2","1.8","0","0","N/A","0","0","1","-0.97","0","0","0.97","-2.91","false"
"trendMomentum","ETH-USDT","9","21","42","55","0.8","1.2","1.2","1.8","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","0.8","1.2","1.2","1.8","0","0","N/A","0","0","1","-0.97","0","0","0.97","-2.91","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","0.8","1.2","1.2","1.8","4","-2.01","0.29","50","2.84","11","-2.5","0.76","45.45","4.37","-0.32","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","0.8","1.2","1.2","1.8","0","0","N/A","0","0","4","-2.87","0.09","25","1.87","-6.71","false"
"trendMomentum","ETH-USDT","20","50","42","55","0.8","1.2","1.2","1.8","0","0","N/A","0","0","1","-1.27","0","0","1.27","-3.81","false"
"trendMomentum","BTC-USDT","20","50","42","55","0.8","1.2","1.2","1.8","0","0","N/A","0","0","3","-1.6","0.14","33.33","1.87","-3.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","0.8","1.2","1.2","1.8","10","-2.96","0.58","50","3.41","10","3.4","1.56","60","2.9","12.4","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","0.8","1.2","1.2","1.8","1","-0.93","0","0","0.93","4","-2.87","0.09","25","1.87","-6.71","false"
"trendMomentum","ETH-USDT","30","100","42","55","0.8","1.2","1.2","1.8","0","0","N/A","0","0","1","-1.27","0","0","1.27","-3.81","false"
"trendMomentum","BTC-USDT","30","100","42","55","0.8","1.2","1.2","1.8","1","-0.93","0","0","0.93","3","-1.6","0.14","33.33","1.87","-3.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","0.8","1.2","1.5","2.5","2","-0.42","0.74","50","1.61","3","-0.44","0.89","33.33","2.84","8.88","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","0.8","1.2","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
"trendMomentum","ETH-USDT","9","21","42","55","0.8","1.2","1.5","2.5","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","0.8","1.2","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","0.8","1.2","1.5","2.5","4","-4.18","0.08","25","4.53","7","-4.89","0.55","28.57","5.78","-9.66","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","0.8","1.2","1.5","2.5","0","0","N/A","0","0","2","-2.56","0","0","1.46","-6.58","false"
"trendMomentum","ETH-USDT","20","50","42","55","0.8","1.2","1.5","2.5","0","0","N/A","0","0","1","-1.46","0","0","1.46","-4.38","false"
"trendMomentum","BTC-USDT","20","50","42","55","0.8","1.2","1.5","2.5","0","0","N/A","0","0","1","-1.1","0","0","1.1","-3.3","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","0.8","1.2","1.5","2.5","10","-3.97","0.58","40","4.85","6","2.63","1.48","50","2.95","10.01","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","0.8","1.2","1.5","2.5","1","-1.04","0","0","1.04","2","-2.56","0","0","1.46","-6.58","false"
"trendMomentum","ETH-USDT","30","100","42","55","0.8","1.2","1.5","2.5","0","0","N/A","0","0","1","-1.46","0","0","1.46","-4.38","false"
